letter,Term,Definition,Committee,lastRevision
A,Agate,"A translucent cryptocrystalline variety of quartz, being a variegated chalcedony frequently mixed or alternating with opal, and characterized by colors arranged in alternating stripes or bands, in irregular clouds, or in mosslike forms. Agate is found in virtually all colors, usually of low intensity; it commonly occupies vugs in volcanic rocks and cavities in some other rocks. Cf: onyx. See also: >; >; >.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Age estimation,"The generation of an estimate of age from skeletal, dental, or cartilaginous material, and correlating it with chronological age.",Anthropology (Crime Scene / Death Investigation),2018-02-23
A,Age estimation,The assessment of odontological age of dental material and correlating it with chronological age.,Odontology (Crime Scene / Death Investigation),2018-02-23
A,Age mimicry,"When an applied age estimate approximates (i.e., ‘mimics’) the age distribution of the reference sample upon which the method was based.",Anthropology (Crime Scene / Death Investigation),2018-02-23
A,Aged scent,Human scent that has been present for some period of time.,Dogs and Sensors (Crime Scene / Death Investigation),2018-02-23
A,Aged trail,"A human scent pathway that has been present for some period of time.  Typically expressed with a time frame associated with the trail. e.g., a 48 hour old trail.",Dogs and Sensors (Crime Scene / Death Investigation),2018-02-23
A,Aggregate,A group of primary soil particles that cohere to each other more strongly than to other surrounding particles.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Aggregate,"A mass or body of rock particles, mineral grains, or a mixture of both.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Aggregate,"Any of several hard, inert materials, such as sand, gravel, slag, or crushed stone, used for mixing with a cementing or bituminous material to form concrete, mortar, or plaster; or used alone, as in railroad ballast or graded fill. The term sometimes includes rock material used as chemical or metallurgical fluxstone, or filtration medium.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Aggregate stability,"A measure of the proportion of the aggregates in a soil which do not easily slake, crumble, or disintegrate.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Agricultural lime,"A soil amendment containing calcium carbonate, magnesium carbonate and other materials, used to neutralize soil acidity and furnish calcium and magnesium for plant growth. Classification including calcium carbonate equivalent and limits in lime particle size is usually prescribed by law or regulation.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Agronomic bed,"A raised (usually) cultivated area between furrows or wheel tracks of tractors specially prepared, managed and/or irrigated to promote the production of a planted crop.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Aid/foil bomb,"A device intended to produce a mechanical explosion by container overpressure due to a chemical reaction of an acid, usually with aluminum in the form of a foil.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Air Bubble,A globule of air trapped within a solid material such as a footwear outsole.,Footwear & Tire (Physics and Pattern Interpretation),2018-02-23
A,Akyl group,"A functional group obtained by removing a hydrogen atom from an alkane and having the formula CnH2n+1. For example, a methyl group from methane.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Alban,A cutan that is light-colored in thin section because of the reduction and translocation of iron.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Albedo,"The ratio of the amount of solar radiation reflected by a body to the amount incident upon it, often expressed as a percentage, as, the albedo of the earth is 34%.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Albic horizon,A mineral soil horizon from which clay and free iron oxides have been removed or in which the oxides have been segregated to the extent that the color of the horizon is determined primarily by the color of the primary sand and silt particles rather than by coatings on these particles.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Albite,A plagioclase feldspar containing sodium (90-100%) and calcium (0-10%).,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Alcohols,"A class of organic compounds having a hydroxyl (-OH) group attached. The lower molecular weight alcohols, methanol (CH3OH), ethanol (C2H5OH), and propanol (C3H7OH), are water soluble.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Ale of Impact,"The acute angle (alpha), relative to the plane of a target, at which a blood drop strikes the target.",Bloodstain Pattern Analysis (Physics and Pattern Interpretation),2018-02-23
A,Alert,"A characteristic change in ongoing behavior in response to a trained odor/scent, as interpreted by the canine handler.  The components of the alert may include: change of behavior (COB), interest, and final response or indication.",Dogs and Sensors (Crime Scene / Death Investigation),2018-02-23
A,Aliasing,See >.,Forensic Document Examination (Physics and Pattern Interpretation),2018-02-23
A,Alignable differences,Differences that are connected to the hierarchical system of relatedness of two or more things.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Alignment,The adjustment of various mechanisms of a typewriter to ensure the even printing of the characters and their proper positioning relative to the baseline and to the other characters.,Forensic Document Examination (Physics and Pattern Interpretation),2018-02-23
A,Alignment Defect,"A deviation from the intended appearance or position of a character relative to another character.  See >, >.  Discussion – Alignment defects are usually categorized as vertical misalignment (character too high or low relative to the baseline established by the other characters), horizontal misalignment (character too far to the left or right relative to the other characters), and twisted or leaning (character leans to the left or to the right); because they are corrected in the alignment process, impression defects are considered as alignment defects.",Forensic Document Examination (Physics and Pattern Interpretation),2018-02-23
A,Aliphatic,"An organic compound that is not aromatic; organic compounds that are alkanes, alkenes, and alkynes and their derivatives.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Aliphatic hydrocarbon,"A hydrocarbon that is one of the major classes of organic molecules characterized by straight or branched chain arrangement of the constituent carbon atoms.  The bonds between the carbon atoms may have single (alkane), double (alkene), or triple (alkyne) bonds, but in no case will each carbon atom have more than four bonds.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Alkaline soil,Soil with a pH value >7.0.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Alkane,A saturated hydrocarbon compound having the general formula CnH2n+2.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Alkanes,"Acyclic branched or unbranched hydrocarbons having the general formula CnH2n+2 , and therefore consisting entirely of hydrogen atoms and saturated carbon atoms.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Alkene,"A class of unsaturated aliphatic hydrocarbons having one or more double bonds. The general formula of such compound with one double-bond is CnH2n. Those containing one double bond are called alkenes, and those with two are called alkadienes.  Also known as olefin.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Alkylbenzenes,A type of aromatic hydrocarbon characterized by a benzene ring with alkyl groups attached to one or more carbon atoms in the ring.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Alkyne,An unsaturated hydrocarbon with at least one triple bond and having the general formula CnH2n-2.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Allele,Any of the forms of the same gene that occur at the same locus on a homologous chromosome but differ in base sequence.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Allele,One of two or more versions of a genetic sequence at a particular location (a locus) in the genome.,Biology (Biology / DNA),2018-02-23
A,Allele frequency,The number of times that an allele appears in a data set (e.g. database) is the absolute frequency.  The proportion in the data set is the  relative frequency.,Biology (Biology / DNA),2018-02-23
A,Allelic dropout/drop-out,See >.,Biology (Biology / DNA),2018-02-23
A,Allelic ladder,"In STR testing, a standardization tool, consisting of the most commonly observed alleles, used for assigning an allele designation to a peak in an electropherogram at a particular genetic locus.",Biology (Biology / DNA),2018-02-23
A,Alligatoring,A term used in fire scene investigations to describe rectangular patterns of char formed on burned wood.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Allocated space,"In computer forensics, the portions of storage that are assigned or reserved for active instructions or for data.",Digital Evidence (Digital / Multimedia),2018-02-23
A,Allocated storage,"In computer forensics, the portions of storage that are assigned or reserved for active instructions or for data.",Digital Evidence (Digital / Multimedia),2018-02-23
A,Allochthonous,"A term which connotes that something (an allochthon) is derived from someplace else, or is not indigenous to a site or area. For example, the allochthonous parent material of an alluvial soil, or an allochthonous community of organisms that invaded an area (i.e., an 'allochthonous flora'). Antonym: autochthonous. (added 6/1/2000).",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Allophane,An aluminosilicate with primarily short-range structural order. Occurs as exceedingly small spherical particles especially in soils formed from volcanic ash.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Alloy,A material consisting of two or more metals or a metal and a non-metal.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Alloy,"A solid or liquid mixture of two or more metals or of one or more metals with certain non-metallic elements, as in carbon steels.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Alluvial,Pertaining to processes or materials associated with transportation or deposition by running water.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Alluvial fan,"A generic term for constructional landforms that are built of stratified alluvium with or without debris-flow deposits and that occur on the pediment slope, downslope from their source of alluvium.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Alluvial soil,(i) A soil developing from recently deposited alluvium and exhibiting essentially no horizon development or modification of the recently deposited materials.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Alluvial soil,When capitalized the term refers to a great soil group of the azonal order consisting of soils with little or no modification of the recent sediment in which they are forming. (Not used in current U.S. system of soil taxonomy.).,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Alluvium,"Sediments deposited by running water of streams and rivers. It may occur on terraces well above present streams, on the present flood plains or deltas, or as a fan at the base of a slope.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Alteration,"A modification made to a document by physical, chemical or mechanical means including, but not limited to, obliterations, additions, overwritings, or erasures.",Forensic Document Examination (Physics and Pattern Interpretation),2018-02-23
A,Alternate Light Source,Equipment used to produce light at various wavelengths to enhance or visualize potential items of evidence.,Footwear & Tire (Physics and Pattern Interpretation),2018-02-23
A,Aluminosilicate,A silicate in which aluminum substitutes for some of the silicon in the SiO4 tetrahedra.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Ambient,"Surrounding conditions as they pertain to the local environment; for example, ambient air and ambient temperature.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Amelogenin,A commonly used sex-typing genetic marker in all DNA profiles generated from commercially available human autosomal STR testing kits. The gene occurs on both the X and Y chromosomes but the locus on the X chromosomes typically amplified in commercial kits is 6 bases shorter resulting in a single peak (X) for females and two peaks (X and Y) for males on the DNA electropherogram.,Biology (Biology / DNA),2018-02-23
A,American Academy of Forensic Sciences (AAFS),An internationally recognized professional association of forensic scientists. http://www.aafs.org.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,American Board of Criminalistics (ABC),A certifying body for professionals in the field of criminalistics/forensic science. http://www.criminalistics.com.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,American Board of Forensic Anthropology (ABFA),A non-profit organization that provides a program of certification in forensic anthropology in the public interest and for the advancement of science.,Anthropology (Crime Scene / Death Investigation),2018-02-23
A,American Board of Medicolegal Death Investigators (AMBDI),"Voluntary, international, not-for-profit, professional certification board established to promote the highest standards of practice for medicolegal death investigators (see: www.abmdi.org ).",MDI (Crime Scene / Death Investigation),2018-02-23
A,American Board of Pathology,"A member board of the American Board of Medical Specialties that administers primary and subspecialty certifications in pathology.  (see: www.abpath.org, www.abms.org ).",MDI (Crime Scene / Death Investigation),2018-02-23
A,American Dental Association (ADA),The largest dental association and the leading source of oral health related information for dentists and their patients in the United States.,Disaster Victim Identification  (Crime Scene / Death Investigation),2018-02-23
A,American National Standards Institute (ANSI),"The Institute that oversees the creation, promulgation and use of thousands of norms and guidelines that directly impact businesses in nearly every sector; ANSI is also actively engaged in accreditation - assessing the competence of organizations determining conformance to standards.",Disaster Victim Identification  (Crime Scene / Death Investigation),2018-02-23
A,American National Standards Institute (ANSI),"A private, nonprofit organization that administers and coordinates the U.S. voluntary standardization and conformity assessment system.  ANSI is the official U.S. representative to the International Organization for Standardization (ISO) and, via the U.S. National Committee, the International Electrotechnical Commission (IEC).",QIC (FSSB),2018-02-23
A,American Society for Testing and Materials (ASTM),See >.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,American Society of Crime Laboratory Directors (ASCLD),A nonprofit professional society devoted to the improvement of crime laboratory operations through sound management practice. This organization is separate and distinct from the accrediting body ASCLD-LAB. http://www.ascld.org.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Amino acid,Any of a class of 20 molecules that are combined to form proteins in living things; the sequence of amino acids in a protein is determined by the exons of a gene.,Biology (Biology / DNA),2018-02-23
A,Amorphous material,Noncrystalline constituents that either do not fit the definition of allophane or it is not certain if the constituent meets allophane criteria.,Chemistry (Chemistry / Instrumental Analysis),2018-02-23
A,Amphibole,"A group of dark rock-forming ferromagnesian silicate minerals, closely related in crystal form and composition and having the general formula: A2-3B5(Si,Al)8O22(OH)2, where A = Mg, Fe2+, Ca, or Na, and B = Mg, Fe2+, Fe3+, Li, Mn, or Al. It is characterized by a cross-linked double chain of tetrahedra with a silicon:oxygen ratio of 4:11, by columnar or fibrous prismatic crystals, and by good prismatic cleavage in two directions parallel to the crystal faces and intersecting at angles of about 56° and 124°; colors range from white to black. Most amphiboles crystallize in the monoclinic system, some in the orthorhombic. They constitute an abundant and widely distributed constituent in igneous and metamorphic rocks (some are wholly metamorphic), and they are analogous in chemical composition to the pyroxenes.",Chemistry (Chemistry / Instrumental Analysis),2018-02-23
